ticker,cd_cvm,SETOR,SUBSETOR,SEGMENTO,nota
BRML3,19909,Financeiro,Exploração de Imóveis,Exploração de Imóveis,
BRPR3,19925,Financeiro,Exploração de Imóveis,Exploração de Imóveis,
CESP6,2577,Utilidade Pública,Energia Elétrica,Energia Elétrica,classe PNB: a mais líquida da companhia
CIEL3,21733,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,
CTIP3,21792,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,
ELPL3,14176,Utilidade Pública,Energia Elétrica,Energia Elétrica,
ENBR3,19763,Utilidade Pública,Energia Elétrica,Energia Elétrica,
FIBR3,12793,Materiais Básicos,Madeira e Papel,Papel e Celulose,
GOLL4,19569,Bens Industriais,Transporte,Linhas Aéreas de Passageiros,
HGTX3,14761,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Vestuário,
JBSS3,20575,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,saída da B3 por migração de listagem: o último fechamento não é perda
LAME4,8087,Consumo Cíclico,Comércio Varejista,Produtos Diversos,
MMXM3,17914,Materiais Básicos,Mineração,Minerais Metálicos,
MPLU3,21946,Consumo Cíclico,Diversos,Programas de Fidelização,
OGXP3,20168,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",
RDNI3,20451,Consumo Cíclico,Construção Civil,Incorporações,
STBP3,17892,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,
CREM3,20141,Saúde,Equipamentos,Equipamentos,
LCAM3,22691,Consumo Cíclico,Diversos,Aluguel de carros,
LINX3,23035,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,
PRML3,21482,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,
RLOG3,23485,Bens Industriais,Transporte,Transporte Ferroviário,
SEDU3,22551,Consumo Cíclico,Diversos,Serviços Educacionais,
TIET4,18970,Utilidade Pública,Energia Elétrica,Energia Elétrica,
PARD3,24090,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos","Serviços Médico - Hospitalares, Análises e Diagnósticos",
CRFB3,24171,Consumo não Cíclico,Comércio e Distribuição,Alimentos,
OMGE3,23426,Utilidade Pública,Energia Elétrica,Energia Elétrica,
GNDI3,24384,Saúde,"Serv. Méd. Hospit., Análises e Diagnósticos",Planos de Saúde,
APER3,22217,Financeiro,Previdência e Seguros,Seguradoras,corretora; o cadastro de setores a classificava como Serviços Ambientais
SGPS3,20966,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Fios e Tecidos,
SQIA3,22799,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,
AESB3,25640,Utilidade Pública,Energia Elétrica,Energia Elétrica,
BOAS3,25135,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,
BSEV3,22845,Consumo não Cíclico,Agropecuária,Açúcar e Álcool,
ELMD3,25569,Comunicações,Mídia,Publicidade e Propaganda,
MOSI3,25470,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,
POWE3,25488,Utilidade Pública,Energia Elétrica,Energia Elétrica,
TESA3,20354,Consumo não Cíclico,Agropecuária,Agricultura,
CLSA3,26093,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,
MOAR3,8893,Financeiro,Holdings Diversificadas,Holdings Diversificadas,
PORT3,26247,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,
ZAMP3,24317,Consumo Cíclico,Hotéis e Restaurantes,Restaurante e Similares,
SRNA3,26441,Utilidade Pública,Energia Elétrica,Energia Elétrica,
