ticker,nome,data_delisting,motivo,ultimo_preco
AELP3,AES ELPA,2018-09-05,cancelamento_voluntário,0.0
ALSC3,ALIANSCE,2019-08-05,elisão_por_incorporação,0.0
APER3,BR INSURANCE CORRETORA DE SEGUROS S.A.,2024-09-23,cancelamento_voluntário,0.0
BFRE11,BRAZILIAN FINANCE & REAL ESTATE S.A.,2024-08-16,cancelamento_voluntário,0.0
BFRE12,BRAZILIAN FINANCE & REAL ESTATE S.A.,2024-08-16,cancelamento_voluntário,0.0
BFRE3,BRAZILIAN FINANCE & REAL ESTATE S.A.,2024-08-16,cancelamento_voluntário,0.0
BIDI11,"INTERMEDIUM - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",2022-12-02,cancelamento_voluntário,0.0
BIDI3,"INTERMEDIUM - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",2022-12-02,cancelamento_voluntário,0.0
BIDI4,"INTERMEDIUM - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",2022-12-02,cancelamento_voluntário,0.0
BLUT3,BLUE TECH SOLUTIONS EQI S.A.,2026-06-10,cancelamento_de_ofício,0.0
BLUT4,BLUE TECH SOLUTIONS EQI S.A.,2026-06-10,cancelamento_de_ofício,0.0
BMGB11,BANCO BMG S/A,1994-03-14,enquadramento_exceções_da_instr._cvm_03/78,0.0
BMGB4,BANCO BMG S/A,1994-03-14,enquadramento_exceções_da_instr._cvm_03/78,0.0
BOAS3,BOA VISTA SERVIÇOS S.A.,2023-10-18,cancelamento_voluntário,0.0
BPAN4,BANCO PAN SA,2026-03-30,cancelamento_voluntário,0.0
BRDT3,VIBRA ENERGIA S/A,2003-02-05,atendimento_as_normas_da_instrução_cvm_nº_361/02,0.0
BRGE11,CONSORCIO ALFA,2024-03-28,cancelamento_voluntário,0.0
BRGE12,CONSORCIO ALFA,2024-03-28,cancelamento_voluntário,0.0
BRGE3,CONSORCIO ALFA,2024-03-28,cancelamento_voluntário,0.0
BRGE5,CONSORCIO ALFA,2024-03-28,cancelamento_voluntário,0.0
BRGE6,CONSORCIO ALFA,2024-03-28,cancelamento_voluntário,0.0
BRGE7,CONSORCIO ALFA,2024-03-28,cancelamento_voluntário,0.0
BRGE8,CONSORCIO ALFA,2024-03-28,cancelamento_voluntário,0.0
BRIT3,BRISANET PARTICIPAÇÕES S.A.,2024-12-04,elisão_por_incorporação,0.0
BRIV3,BANCO ALFA DE INVESTIMENTO S.A.,2024-03-28,cancelamento_voluntário,0.0
BRIV4,BANCO ALFA DE INVESTIMENTO S.A.,2024-03-28,cancelamento_voluntário,0.0
BSEV3,LDC BIOENERGIA SA,2021-06-25,cancelamento_voluntário,0.0
CCXC3,CENTENNIAL ASSET PART. AMAPA S/A,2024-09-24,cancelamento_de_ofício,0.0
CLSA3,CLEAR SALE S.A,2025-06-09,cancelamento_voluntário,0.0
CMFA3,CIMS SA,2025-01-22,cancelamento_voluntário,0.0
CMFA4,CIMS SA,2025-01-22,cancelamento_voluntário,0.0
CORR3,CORREA RIBEIRO SA COM. IND.,2024-01-29,cancelamento_voluntário,0.0
CORR4,CORREA RIBEIRO SA COM. IND.,2024-01-29,cancelamento_voluntário,0.0
CREM3,CREMER S.A.,2004-05-07,atendimento_as_normas_da_instrução_cvm_nº_361/02,0.0
CREM3,CREMER S.A.,2018-11-22,cancelamento_voluntário,0.0
CRFB3,ATACADÃO S.A.,2025-12-22,cancelamento_voluntário,0.0
CRFB3,ATACADÃO S.A.,2025-12-22,cancelamento_voluntário,0.0
CRIV3,ALFA FINANCEIRA,2024-03-28,cancelamento_voluntário,0.0
CRIV4,ALFA FINANCEIRA,2024-03-28,cancelamento_voluntário,0.0
CSAB3,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,2024-03-08,cancelamento_voluntário,0.0
CSAB4,COMPANHIA DE SEGUROS ALIANÇA DA BAHIA,2024-03-08,cancelamento_voluntário,0.0
CTNM3,COTEMINAS,2026-01-09,cancelamento_de_ofício,0.0
CTNM4,COTEMINAS,2026-01-09,cancelamento_de_ofício,0.0
DMFN3,"DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",2025-05-30,cancelamento_voluntário,0.0
ECPR3,ENCORPAR,2022-04-29,cancelamento_voluntário,0.0
ECPR4,ENCORPAR,2022-04-29,cancelamento_voluntário,0.0
ELEK3,ELEKEIROZ S/A,2020-07-01,cancelamento_voluntário,0.0
ELEK3,ELEKEIROZ S/A,2020-07-01,cancelamento_voluntário,0.0
ELEK4,ELEKEIROZ S/A,2020-07-01,cancelamento_voluntário,0.0
ELEK4,ELEKEIROZ S/A,2020-07-01,cancelamento_voluntário,0.0
ELMD3,ELETROMIDIA S.A.,2025-07-02,cancelamento_voluntário,0.0
